method,round,accuracy_mean,accuracy_std,loss_mean,loss_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,worst_class_accuracy_mean,worst_class_accuracy_std,class_accuracy_std_mean,class_accuracy_std_std,selected_clients_mean,selected_clients_std,safe_clients_mean,safe_clients_std,client_uploads_mean,client_uploads_std,cloud_uploads_mean,cloud_uploads_std,payload_to_edge_scalars_mean,payload_to_edge_scalars_std,payload_to_cloud_scalars_mean,payload_to_cloud_scalars_std,payload_to_edge_bytes_mean,payload_to_edge_bytes_std,payload_to_cloud_bytes_mean,payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,energy_proxy_mean,energy_proxy_std,mean_selected_latency_ms_mean,mean_selected_latency_ms_std,max_selected_latency_ms_mean,max_selected_latency_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,round_latency_proxy_ms_mean,round_latency_proxy_ms_std,filtered_updates_mean,filtered_updates_std,selection_fairness_mean,selection_fairness_std,selection_entropy_mean,selection_entropy_std,participation_gini_mean,participation_gini_std,top_20pct_selection_share_mean,top_20pct_selection_share_std,attack_clients_mean,attack_clients_std,blocked_adversarial_mean,blocked_adversarial_std,accepted_adversarial_mean,accepted_adversarial_std,blocked_benign_mean,blocked_benign_std,security_recall_mean,security_recall_std,filter_precision_mean,filter_precision_std,benign_retention_mean,benign_retention_std,mean_reference_cosine_mean,mean_reference_cosine_std,min_reference_cosine_mean,min_reference_cosine_std,communication_reduction_mean,communication_reduction_std,safe_client_ratio_mean,safe_client_ratio_std
flat_fedavg_random,1,0.17222222685813904,0.0,2.169046640396118,0.0,0.21235294117647058,0.0,0.16193910256410254,0.0,0.10149933271738014,0.0,0.09730205374761888,0.0,0.16193910256410254,0.0,0.0,0.0,0.3302958969323196,0.0,4,0.0,4,0.0,4,0.0,4,0.0,0,0.0,9640,0.0,0,0.0,38560,0.0,38560,0.0,30.426944188797243,0.0,72.25,0.0,102.0,0.0,83.2,0.0,178.5,0.0,0,0.0,0.4,0.0,0.6020599913279623,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5710624236414252,0.0,0.4860330765489314,0.0,0.0,0.0,1.0,0.0
flat_fedavg_random,2,0.38333332538604736,0.0,1.8927390575408936,0.0,0.41339528813111287,0.0,0.35801282051282046,0.0,0.2614751326887344,0.0,0.27996581492200673,0.0,0.35801282051282046,0.0,0.0,0.0,0.4212715218263711,0.0,4,0.0,4,0.0,4,0.0,4,0.0,0,0.0,9640,0.0,0,0.0,38560,0.0,38560,0.0,24.582292024977217,0.0,54.5,0.0,96.0,0.0,79.03999999999999,0.0,168.0,0.0,0,0.0,0.8,0.0,0.9030899869919434,0.0,0.19999999999999996,0.0,0.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6915775264980336,0.0,0.573733051483134,0.0,0.0,0.0,1.0,0.0
hierarchical_intelligent_fedavg,1,0.29722222685813904,0.0,2.2797505855560303,0.0,0.316357291658223,0.0,0.3086093514328808,0.0,0.2139705427825616,0.0,0.21009160817750494,0.0,0.3086093514328808,0.0,0.0,0.0,0.39155151960841744,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,28.44316905233861,0.0,60.25,0.0,87.0,0.0,74.88,0.0,97.0,0.0,0,0.0,0.4,0.0,0.6020599913279623,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7972425523957329,0.0,0.6781698664620968,0.0,0.5,0.0,1.0,0.0
hierarchical_intelligent_fedavg,2,0.3499999940395355,0.0,1.9952867031097412,0.0,0.3939784769572004,0.0,0.34635774963518867,0.0,0.29000078166248977,0.0,0.29427524508708913,0.0,0.34635774963518867,0.0,0.0,0.0,0.4258145033188119,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,27.916739516984947,0.0,45.0,0.0,86.0,0.0,79.03999999999999,0.0,96.0,0.0,0,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7921108000993909,0.0,0.776871791818404,0.0,0.5,0.0,1.0,0.0
hierarchical_intelligent_no_fairness,1,0.2944444417953491,0.0,2.271414279937744,0.0,0.3043875609093,0.0,0.302419306184012,0.0,0.1985695549855932,0.0,0.19855706607430623,0.0,0.302419306184012,0.0,0.0,0.0,0.39516386913410295,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,28.44316905233861,0.0,60.25,0.0,87.0,0.0,74.88,0.0,97.0,0.0,0,0.0,0.4,0.0,0.6020599913279623,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7972425523957329,0.0,0.6781698664620968,0.0,0.5,0.0,1.0,0.0
hierarchical_intelligent_no_fairness,2,0.35555556416511536,0.0,2.00840425491333,0.0,0.3908843537414966,0.0,0.35248267146133,0.0,0.2939115435481837,0.0,0.29807863733276385,0.0,0.35248267146133,0.0,0.0,0.0,0.4313875988083524,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,27.815049737339027,0.0,45.0,0.0,86.0,0.0,79.03999999999999,0.0,96.0,0.0,0,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7893747222564839,0.0,0.7749787181126817,0.0,0.5,0.0,1.0,0.0
hierarchical_intelligent_no_filter,1,0.18611110746860504,0.0,2.243169069290161,0.0,0.09070213275820752,0.0,0.17948717948717946,0.0,0.09965524671407025,0.0,0.10627917833800185,0.0,0.17948717948717946,0.0,0.0,0.0,0.36189289773081745,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,27.244492822758207,0.0,63.5,0.0,104.0,0.0,79.03999999999999,0.0,114.0,0.0,0,0.0,0.4,0.0,0.6020599913279623,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7922544747238874,0.0,0.7773215152356651,0.0,0.5,0.0,1.0,0.0
hierarchical_intelligent_no_filter,2,0.21666666865348816,0.0,2.0519089698791504,0.0,0.23346653706303772,0.0,0.2532852564102564,0.0,0.1446947177355711,0.0,0.13977465539011943,0.0,0.2532852564102564,0.0,0.0,0.0,0.3822705717594333,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,25.615972883971224,0.0,40.5,0.0,66.0,0.0,74.88,0.0,76.0,0.0,0,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8020578580212318,0.0,0.7324583982579318,0.0,0.5,0.0,1.0,0.0
hierarchical_random_fedavg,1,0.10277777910232544,0.0,2.35475492477417,0.0,0.11002785515320335,0.0,0.10256410256410256,0.0,0.023227848101265824,0.0,0.02364451476793249,0.0,0.10256410256410256,0.0,0.0,0.0,0.2992429633004135,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,28.739676494494443,0.0,36.5,0.0,60.0,0.0,79.03999999999999,0.0,70.0,0.0,0,0.0,0.4,0.0,0.6020599913279623,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7343724251781705,0.0,0.6990233252796595,0.0,0.5,0.0,1.0,0.0
hierarchical_random_fedavg,2,0.4027777910232544,0.0,1.8520573377609253,0.0,0.21489327004989653,0.0,0.3779728401679621,0.0,0.25683496030303987,0.0,0.28134309154500703,0.0,0.3779728401679621,0.0,0.0,0.0,0.4634729935902234,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,28.81251451712991,0.0,74.5,0.0,106.0,0.0,74.88,0.0,116.0,0.0,0,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8217708810881241,0.0,0.7684263506629101,0.0,0.5,0.0,1.0,0.0
proposed,1,0.18611110746860504,0.0,2.243169069290161,0.0,0.09070213275820752,0.0,0.17948717948717946,0.0,0.09965524671407025,0.0,0.10627917833800185,0.0,0.17948717948717946,0.0,0.0,0.0,0.36189289773081745,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,27.244492822758207,0.0,63.5,0.0,104.0,0.0,79.03999999999999,0.0,114.0,0.0,0,0.0,0.4,0.0,0.6020599913279623,0.0,0.5999999999999999,0.0,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7922544747238874,0.0,0.7773215152356651,0.0,0.5,0.0,1.0,0.0
proposed,2,0.21666666865348816,0.0,2.0519089698791504,0.0,0.23346653706303772,0.0,0.2532852564102564,0.0,0.1446947177355711,0.0,0.13977465539011943,0.0,0.2532852564102564,0.0,0.0,0.0,0.3822705717594333,0.0,4,0.0,4,0.0,4,0.0,2,0.0,9640,0.0,4820,0.0,38560,0.0,19280,0.0,57840,0.0,25.615972883971224,0.0,40.5,0.0,66.0,0.0,74.88,0.0,76.0,0.0,0,0.0,0.64,0.0,0.8278324880759482,0.0,0.375,0.0,0.375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8020578580212318,0.0,0.7324583982579318,0.0,0.5,0.0,1.0,0.0
